eqp_id;od_id;cycle_min;mov_id
CW-110;15 BAL - 11 GRADE;15;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;50;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;97;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;103;Producao Final Minerio
CW-110;22 SER - 11 GRADE;90;Producao Final Minerio
CW-110;22 SER - 11 GRADE;90;Producao Final Minerio
CW-110;22 SER - 11 GRADE;91;Producao Final Minerio
CW-110;22 SER - 11 GRADE;126;Producao Final Minerio
CW-110;22 SER - 11 GRADE;114;Producao Final Minerio
CW-110;22 FGS - 11 GRADE;92;Producao Final Minerio
CW-111;15 BAL - 11 GRADE;45;Producao Final Minerio
CW-111;22 FGS - 11 GRADE;78;Producao Final Minerio
CW-112;15 BAL - 11 GRADE;65;Producao Final Minerio
CW-112;16 BAL - 11 GRADE;36;Producao Final Minerio
CW-112;22 FGS - 11 GRADE;75;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;57;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;24;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;112;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;103;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;109;Producao Final Minerio
CW-113;22 SER - 11 GRADE;86;Producao Final Minerio
CW-113;22 SER - 11 GRADE;56;Producao Final Minerio
CW-113;22 SER - 11 GRADE;71;Producao Final Minerio
CW-113;22 SER - 11 GRADE;76;Producao Final Minerio
CW-113;22 SER - 11 GRADE;42;Producao Final Minerio
CW-113;22 FGS - 11 GRADE;97;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;43;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;42;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;97;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;89;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;79;Producao Final Minerio
CW-114;22 SER - 11 GRADE;85;Producao Final Minerio
CW-114;22 SER - 11 GRADE;87;Producao Final Minerio
CW-114;22 FGS - 11 GRADE;91;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;46;Producao Final Minerio
CW-115;15 BAL - 11 GRADE;36;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;90;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;107;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;99;Producao Final Minerio
CW-115;22 SER - 11 GRADE;89;Producao Final Minerio
CW-115;22 SER - 11 GRADE;87;Producao Final Minerio
CW-115;22 SER - 11 GRADE;81;Producao Final Minerio
CW-115;22 SER - 11 GRADE;88;Producao Final Minerio
CW-115;22 FGS - 11 GRADE;90;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;54;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;41;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;41;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;50;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;50;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-117;15 BAL - 11 GRADE;23;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;82;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;87;Producao Final Minerio
CW-117;22 SER - 11 GRADE;45;Producao Final Minerio
CW-117;22 SER - 11 GRADE;79;Producao Final Minerio
CW-117;22 SER - 11 GRADE;71;Producao Final Minerio
CW-117;22 FGS - 11 GRADE;83;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;43;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;82;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;51;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;54;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;52;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;53;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;45;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;67;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;47;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;44;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;82;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;38;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;82;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;60;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;52;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;58;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;67;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;40;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;50;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;66;Producao Final Minerio
CW-121;22 SER - 11 GRADE;86;Producao Final Minerio
CW-122;15 BAL - 11 GRADE;57;Producao Final Minerio
CW-122;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-122;15 BAL - 11 GRADE;46;Producao Final Minerio
CW-122;15 BAL - 11 GRADE;20;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;80;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;57;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;44;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;47;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;48;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;57;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;77;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;59;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;48;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;77;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;45;Producao Final Minerio
CW-123;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;7;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;16;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;26;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;53;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;38;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;53;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;58;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;53;Producao Final Minerio
CW-107;20 SER - 11 GRADE;59;Producao Final Minerio
CW-108;15 BAL - 11 GRADE;24;Producao Final Minerio
